23:39:50:535 [ALWAYS]	GUDE Logging Started
23:39:50:535 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
23:39:50:535 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
23:39:50:535 [ERROR]	Initialize resume cache pointer failure
23:39:50:536 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
23:39:50:536 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
23:39:55:204 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
23:39:55:204 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
23:39:55:204 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
23:39:55:206 [ERROR]	Initialize resume cache pointer failure
23:39:55:206 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
23:39:55:206 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
